date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:59:54	12195/12195	---MC-	200	added ('OK')	text/html	date:Fri,%2004%20Oct%202024%2013:59:53%20GMT	https://localhost:7064/	E:/Noman%20Client/github/HomeCareAndMaintenance/localhost_7064/index.html	(from )
06:59:54	0/0	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Oct%202024%2013:59:53%20GMT	https://localhost:7064/robots.txt		(from )
06:59:54	162720/162720	---M--	200	added ('OK')	text/css	etag:%221db14a831c8a3a0%22	https://localhost:7064/lib/bootstrap/dist/css/bootstrap.min.css	E:/Noman%20Client/github/HomeCareAndMaintenance/localhost_7064/lib/bootstrap/dist/css/bootstrap.min.css	(from https://localhost:7064/)
06:59:54	6946/6946	---M--	200	added ('OK')	text/css	etag:%221db164d5ca27a22%22	https://localhost:7064/css/site.css	E:/Noman%20Client/github/HomeCareAndMaintenance/localhost_7064/css/site.css	(from https://localhost:7064/)
06:59:55	19178/19178	---M--	200	added ('OK')	image/jpeg	etag:%221db14c2a743e8ea%22	https://localhost:7064/Images/Banner/logo.jpg	E:/Noman%20Client/github/HomeCareAndMaintenance/localhost_7064/Images/Banner/logo.jpg	(from https://localhost:7064/)
06:59:55	41154/41154	---M--	200	added ('OK')	image/webp	etag:%221db14d02ab760c2%22	https://localhost:7064/Images/Services/cctvimg.webp	E:/Noman%20Client/github/HomeCareAndMaintenance/localhost_7064/Images/Services/cctvimg.webp	(from https://localhost:7064/)
06:59:55	2080985/2080985	---M--	200	added ('OK')	image/png	etag:%221db15d05c0875d9%22	https://localhost:7064/Images/Banner/heroImg.png	E:/Noman%20Client/github/HomeCareAndMaintenance/localhost_7064/Images/Banner/heroImg.png	(from https://localhost:7064/)
06:59:55	443996/443996	---M--	200	added ('OK')	image/png	etag:%221db14d252094adc%22	https://localhost:7064/Images/Services/Electric.png	E:/Noman%20Client/github/HomeCareAndMaintenance/localhost_7064/Images/Services/Electric.png	(from https://localhost:7064/)
06:59:56	78182/78182	---M--	200	added ('OK')	image/webp	etag:%221db14d436a4b066%22	https://localhost:7064/Images/Services/hmdecore.webp	E:/Noman%20Client/github/HomeCareAndMaintenance/localhost_7064/Images/Services/hmdecore.webp	(from https://localhost:7064/)
06:59:56	0/0	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Oct%202024%2013:59:56%20GMT	https://localhost:7064/Images/social/facebook.png	E:/Noman%20Client/github/HomeCareAndMaintenance/localhost_7064/Images/social/facebook.8.delayed	(from https://localhost:7064/)
06:59:56	0/0	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Oct%202024%2013:59:56%20GMT	https://localhost:7064/Images/social/twitter.png	E:/Noman%20Client/github/HomeCareAndMaintenance/localhost_7064/Images/social/twitter.9.delayed	(from https://localhost:7064/)
06:59:56	10087444/10087444	---M--	200	added ('OK')	image/jpeg	etag:%221db14b8e9fe0a14%22	https://localhost:7064/Images/Services/plumber.jpg	E:/Noman%20Client/github/HomeCareAndMaintenance/localhost_7064/Images/Services/plumber.jpg	(from https://localhost:7064/)
06:59:56	0/0	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Oct%202024%2013:59:56%20GMT	https://localhost:7064/Images/social/instagram.png	E:/Noman%20Client/github/HomeCareAndMaintenance/localhost_7064/Images/social/instagram.a.delayed	(from https://localhost:7064/)
06:59:57	0/0	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Oct%202024%2013:59:57%20GMT	https://localhost:7064/Images/social/linkedin.png	E:/Noman%20Client/github/HomeCareAndMaintenance/localhost_7064/Images/social/linkedin.b.delayed	(from https://localhost:7064/)
06:59:57	78468/78468	---M--	200	added ('OK')	text/javascript	etag:%221db14a831cbea84%22	https://localhost:7064/lib/bootstrap/dist/js/bootstrap.bundle.min.js	E:/Noman%20Client/github/HomeCareAndMaintenance/localhost_7064/lib/bootstrap/dist/js/bootstrap.bundle.min.js	(from https://localhost:7064/)
06:59:57	89501/89501	---M--	200	added ('OK')	text/javascript	etag:%221db14a831cb859d%22	https://localhost:7064/lib/jquery/dist/jquery.min.js	E:/Noman%20Client/github/HomeCareAndMaintenance/localhost_7064/lib/jquery/dist/jquery.min.js	(from https://localhost:7064/)
06:59:58	6115/6115	---M--	200	added ('OK')	text/javascript	etag:%221db054f2c382ae3%22	https://localhost:7064/js/main.js	E:/Noman%20Client/github/HomeCareAndMaintenance/localhost_7064/js/main.js	(from https://localhost:7064/)
06:59:58	31609/31609	---M--	200	added ('OK')	image/png	etag:%221db14d76bffe579%22	https://localhost:7064/Images/Social/whatsapp.png	E:/Noman%20Client/github/HomeCareAndMaintenance/localhost_7064/Images/Social/whatsapp.png	(from https://localhost:7064/)
06:59:58	153506/153506	---MC-	200	added ('OK')	text/javascript	date:Fri,%2004%20Oct%202024%2013:59:58%20GMT	https://localhost:7064/_vs/browserLink	E:/Noman%20Client/github/HomeCareAndMaintenance/localhost_7064/_vs/browserLink	(from https://localhost:7064/)
06:59:59	13766/13766	---M--	200	added ('OK')	application/javascript	date:Fri,%2004%20Oct%202024%2013:59:58%20GMT	https://localhost:7064/_framework/aspnetcore-browser-refresh.js	E:/Noman%20Client/github/HomeCareAndMaintenance/localhost_7064/_framework/aspnetcore-browser-refresh.js	(from https://localhost:7064/)
